Month	Protocol	Project_Type	Fiat_Loss	General_Attack_Method
2022-01	Arbix Finance	DeFi	$10,000,000.00	Scam
2022-01	"Stobox Exchange	"	DeFi	$166,000.00	Hack
2022-01	Metaland DAO        	Metaverse	$286,000.00	Scam
2022-01	$GOTEM(gotEM) $ONEP (HarmonyPad) $HBARP (HbarPad) $MPLAY (MetaPlay) $ELIT (Electrinity) $PEE (MicroPee) $QDrop (QuizDrop) 	DeFi	$2,600,000.00	Scam
2022-01	BNB Heroes	GameFi	$566,000.00	Scam
2022-01	Crypto Burgers	Metaverse	$770,000.00	Hack
2022-01	CrossWise	DeFi	$257,000.00	Hack
2022-01	Mercenery	DeFi	$760,000.00	Scam
2022-01	CryptoCity	GameFi	$9,200,000.00	Scam
2022-01	QubitFinance	DeFi	$80,000,000.00	Hack
2022-02	TooFarm	DeFi	$300,000.00	Scam
2022-02	Meter.io	Bridge	$4,400,000.00	Hack
2022-02	FileSystemVideo	DeFi	$303,000.00	Scam
2022-02	Earn Hub	DeFi	$284,000.00	Hack
2022-02	DEGO Finance	DeFi	$15,400,000.00	Hack
2022-02	AssangeDAO 	DAO	$23,600.00	Scam
2022-02	Baby Musk	DeFi	$2,000,000.00	Scam
2022-02	ValentineFloki	DeFi	$50,000.00	Scam
2022-02	Titano	DeFi	$1,900,000.00	Scam
2022-02	BNB42	DeFi	$2,700,000.00	Scam
2022-02	TopGoal	GameFi	$1,100,000.00	Hack
2022-02	Raptor2	DeFi	$84,000.00	Scam
2022-02	DollarDoge	DeFi	$193,000.00	Scam
2022-02	FlurryFinance	DeFi	$295,000.00	Hack
2022-02	Web3Memes	DeFi	$27,000.00	Scam
2022-02	Web3Memes	GameFi	$51,000.00	Hack
2022-02	Ariva Digital	DeFi	$660,000.00	Hack
2022-02	NebuDAO MOX	DeFi	$1,600,000.00	Hack
2022-03	Hamster Coin	DeFi	$683,000.00	Scam
2022-03	TheCatWorld	GameFi	$39,000.00	Scam
2022-03	Peacedoge X	DeFi	$18,000.00	Scam
2022-03	TetherShiba	DeFi	$105,000.00	Scam
2022-03	Skylands	GameFi	$159,000.00	Scam
