date,address,type,WAT,risk_level,risk_description
2023-09-14,0x2eeff21c71ae38f9c34496cd9250c0d186dcd988,General_Trending_Risky,130902,3,"The address is blacklisted based on threat intelligence or manual analysis.; The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk."
2023-09-14,0x45c36b3ee5f6c9b4b494515b21a59b8b78336536,General_Trending_Risky,94739,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xfa500178de024bf43cfa69b7e636a28ab68f2741,General_Trending_Risky,66301,4,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0xc198c3b7b970cbac315614cf27a1b7eb332048d6,General_Trending_Risky,63312,3,The address is blacklisted based on threat intelligence or manual analysis.
2023-09-14,0xffe811714ab35360b67ee195ace7c10d93f89d8c,General_Trending_Risky,55662,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x98f39d0f8c67885071cc99c5af1d4cacbcc89b0c,General_Trending_Risky,54965,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0xdc35505fbf46605f61014b9b2ac96826c47017d5,General_Trending_Risky,52697,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x346668d355f22aaddda10eef35f9ba86ec558652,General_Trending_Risky,51785,4,"The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk."
2023-09-14,0x2d1cfbb3468f78f916cca25f050d44b6115392e0,General_Trending_Risky,48798,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0xe01806f66abcd460a7eb38ec723cc644c3e5833c,General_Trending_Risky,46057,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
2023-09-14,0x0000000000b35ae47b12b8ccf2f8d51e208760c8,General_Trending_Risky,44593,5,The address is blacklisted based on threat intelligence or manual analysis.; The address was marked as red alarm on: https://dappbay.bnbchain.org/red-alarm.
